id,published_date,company,order_type,provisions,product,title,url,pdf_url,fiscal_year
"031623","2022-12-23","エアガン用BB弾の販売事業者5社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","エアガン用BB弾の販売事業者5社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/031623/","","2022"
"031612","2022-12-23","ゴミ袋及びレジ袋の販売事業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","ゴミ袋及びレジ袋の販売事業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/031612/","","2022"
"031584","2022-12-23","釣り用品の販売事業者","措置命令","第5条第1号(優良誤認) / 第7条第1項","","釣り用品の販売事業者に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/031584/","","2022"
"031610","2022-12-23","カトラリー、ストロー、カップ等の販売事業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","カトラリー、ストロー、カップ等の販売事業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/031610/","","2022"
"030912","2022-11-18","一般社団法人免研アソシエイツ協会","措置命令","第5条第1号(優良誤認) / 第7条第1項","免研糖鎖機能性食品G","一般社団法人免研アソシエイツ協会に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/030912/","","2022"
"030238","2022-09-16","株式会社TBSグロウディア","課徴金納付命令","第8条第1項","トルネードRFローラー","株式会社TBSグロウディアに対する景品表示法に基づく課徴金納付命令 について","https://www.caa.go.jp/notice/entry/030238/","","2022"
"029903","2022-09-14","株式会社アップドラフト","課徴金納付命令","第8条第1項","滝風イオンメディック","株式会社アップドラフトに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/029903/","","2022"
"029930","2022-09-09","株式会社山田養蜂場","措置命令","第5条第1号(優良誤認) / 第7条第1項","ビタミンD+亜鉛","株式会社山田養蜂場に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029930/","","2022"
"029937","2022-09-06","キリンビバレッジ株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","トロピカーナ 100% まるごと果実感 メロンテイスト","キリンビバレッジ株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029937/","","2022"
"029623","2022-08-09","有限会社ファミリア薬品","課徴金納付命令","第8条第1項","朱の実","有限会社ファミリア薬品に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/029623/","","2022"
"029574","2022-08-05","株式会社晋遊舎","課徴金納付命令","第8条第1項","スペシャル!フレンズファミリーキャンペーン","株式会社晋遊舎に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/029574/","","2022"
"029550","2022-07-29","株式会社北海道産地直送センター","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社北海道産地直送センターに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029550/","","2022"
"029193","2022-06-22","株式会社サプリメント・ワールド","課徴金納付命令","第8条第1項","エクステアライズゲル","株式会社サプリメント・ワールドに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/029193/","","2022"
"029169","2022-06-21","株式会社レッドスパイス","課徴金納付命令","第8条第1項","SARARITOウイルスブロッカー","株式会社レッドスパイスに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/029169/","","2022"
"029113","2022-06-15","株式会社PMKメディカルラボ","措置命令","第5条第1号(優良誤認) / 第7条第1項","","株式会社PMKメディカルラボに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029113/","","2022"
"029023","2022-06-09","株式会社あきんどスシロー","措置命令","第5条第3号(おとり広告) / 第7条第1項","新物!濃厚うに包み","株式会社あきんどスシローに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029023/","","2022"
"029017","2022-06-07","株式会社ココカラケア","措置命令","第5条第1号(優良誤認) / 第7条第1項","SIXPACK EXCERSIZE(シックスパックエクササイズ)","株式会社ココカラケアに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/029017/","","2022"
"028836","2022-06-01","沖縄特産販売株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","養力珪素","沖縄特産販売株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028836/","","2022"
"028791","2022-05-25","投てき消火用具の販売事業者5社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","投てき消火用具の販売事業者5社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028791/","","2022"
"028704","2022-05-24","リプサ株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","ラクトフェリン濃縮物加工食品","リプサ株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028704/","","2022"
"028525","2022-04-27","株式会社DYM","措置命令","第5条第1号(優良誤認) / 第7条第1項","DYM就職","株式会社DYMに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028525/","","2022"
"028385","2022-04-15","大幸薬品株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","クレベリン 置き型 60g","大幸薬品株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028385/","","2022"
"028234","2022-04-05","株式会社W-ENDLESS","措置命令","第5条第1号(優良誤認) / 第7条第1項","Dr.味噌汁","株式会社W-ENDLESSに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028234/","","2022"
"028043","2022-03-29","株式会社ハウワイ","課徴金納付命令","第8条第1項","エターナルアイラッシュ","株式会社ハウワイに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/028043/","","2021"
"028011","2022-03-24","株式会社EE21","措置命令","第5条第2号(有利誤認) / 第7条第1項","介護職員初任者研修","株式会社EE21に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/028011/","","2021"
"027994","2022-03-23","古田商事株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","メリヤスウエス","古田商事株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/027994/","","2021"
"027909","2022-03-15","株式会社セドナエンタープライズ","措置命令","第5条第2号(有利誤認) / 第7条第1項","脱毛ラボ ホームエディション","株式会社セドナエンタープライズに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/027909/","","2021"
"027789","2022-03-03","セブンエー美容株式会社、株式会社ダイシン及び株式会社エイチフォー","措置命令","第5条第2号(有利誤認) / 第7条第1項","","セブンエー美容株式会社、株式会社ダイシン及び株式会社エイチフォーに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/027789/","","2021"
"027405","2022-02-09","タイガー魔法瓶株式会社","課徴金納付命令","第8条第1項","PCK-A080","タイガー魔法瓶株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/027405/","","2021"
"027497","2022-02-03","大作商事株式会社及び株式会社イトーヨーカ堂","措置命令","第5条第1号(優良誤認) / 第7条第1項","ピュアサプライ","大作商事株式会社及び株式会社イトーヨーカ堂に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/027497/","","2021"
